N1,N2,D,C_real1,C_real2
0.0,0.0,0.0,400.0,400.0
0.0,0.0,0.0,399.4033503583158,399.41140562031177
0.0,0.0,0.0,398.538417813234,399.4499483433128
0.0,0.0,0.0,396.31208468998943,399.19043634178655
0.0,0.0,0.0,397.38058973987773,400.05537475926224
0.0,0.0,0.0,398.52807106849957,401.17393211840715
0.0,0.0,0.0,400.0376957803257,400.0380198063696
0.0,0.0,0.0,400.882963751002,398.17655998000794
0.0,0.0,0.0,400.266831484326,396.28944224330576
0.0,0.0,0.0,401.31097254691815,397.6788424064879
0.0,0.0,0.0,401.093889647426,399.48830843392665
0.0,0.0,0.0,400.4027521868217,399.64660227836396
0.0,0.0,0.0,400.54965585063195,398.5877087264019
0.0,0.0,0.0,400.9793556622054,400.5478735178535
0.0,0.0,0.0,399.9397340211821,401.4389942924086
0.0,0.0,0.0,399.78613265822537,403.187035182056
0.0,0.0,0.0,400.27313241685505,403.8154426532857
0.0,0.0,0.0,400.91220225350816,404.007294177902
0.0,0.0,0.0,399.5027588121568,405.33884457788633
0.0,0.0,0.0,398.1395542535082,405.4973192655382
0.0,0.0,0.0,398.7815453852247,404.5769398460878
0.0,0.0,0.0,398.94489121394435,405.67616223930366
0.0,0.0,0.0,398.936620106935,404.70235565659016
0.0,0.0,0.0,396.0368388192738,403.65997405343313
0.0,0.0,0.0,395.505215121634,403.0886494517079
0.0,0.0,0.0,394.6126482980166,403.41960736061117
0.0,0.0,0.0,394.1187589600127,403.25885010936236
0.0,0.0,0.0,394.88605831552917,402.35452104897087
0.0,0.0,0.0,394.66256883473943,404.4773451068305
0.0,0.0,0.0,395.61692583960513,403.11663848353
0.0,0.0,0.0,395.6029385135381,403.63436692485897
0.0,0.0,0.0,396.9023735117166,403.72882978423866
0.0,0.0,0.0,396.41826259114197,402.94236386732547
0.0,0.0,0.0,397.11705716136004,403.21128225923843
0.0,0.0,0.0,396.6436594733666,402.97403526468906
0.0,0.0,0.0,396.27781289651176,403.6540760635824
0.0,0.0,0.0,395.6436924020134,404.08567202163414
0.0,0.0,0.0,396.56056440844753,404.5106278254383
0.0,0.0,0.0,395.7779240417124,405.7879529146155
0.0,0.0,0.0,395.1630525117745,406.12755868530746
0.0,0.0,0.0,394.48228289500656,404.29152408988057
0.0,0.0,0.0,394.79080872706845,404.514176583986
0.0,0.0,0.0,394.79151535897034,404.7225227091012
0.0,0.0,0.0,394.22124167128663,403.91421009999857
0.0,0.0,0.0,394.13984264056387,405.76476406479674
0.0,0.0,0.0,395.0425711671282,405.1582892248058
0.0,0.0,0.0,395.6756559201867,404.60254011027246
0.0,0.0,0.0,395.2832692211298,405.39277708999884
0.0,0.0,0.0,394.8287656471651,403.6362406899564
0.0,0.0,0.0,393.9998482693583,403.67010347833406
0.0,0.0,0.0,394.21786803668925,404.8566587740624
0.0,0.0,0.0,393.58858485741223,405.51526398948084
0.0,0.0,0.0,394.11073476108,405.283509330744
0.0,0.0,0.0,395.03492881462034,405.69636442092207
0.0,0.0,0.0,394.2471070568998,406.6825922229554
0.0,0.0,0.0,393.11251096663534,406.64195633721624
0.0,0.0,0.0,393.21828099357043,406.96694918357247
0.0,0.0,0.0,392.59458704693657,406.8274878115986
0.0,0.0,0.0,392.5650624471174,407.7221496286175
0.0,0.0,0.0,391.8806869742744,407.6790477562525
0.0,0.0,0.0,391.74125198334906,406.26579960387846
0.0,0.0,0.0,394.54126019580013,406.1005790581121
0.0,0.0,0.0,393.1364947812612,407.4176857717705
0.0,0.0,0.0,392.16887614158077,407.6772761760332
0.0,0.0,0.0,393.14919060281983,406.91366950221664
0.0,0.0,0.0,392.82107645287084,406.2696804314139
0.0,0.0,0.0,392.7994127449307,404.5531606058691
0.0,0.0,0.0,391.6717966833985,404.34406500084856
0.0,0.0,0.0,392.8356845227703,404.9106355309966
0.0,0.0,0.0,394.6725787590901,405.5310161951501
0.0,0.0,0.0,394.24137194358826,405.32519668817235
0.0,0.0,0.0,392.2973688944809,404.2845325438111
0.0,0.0,0.0,391.3925610694233,404.49084599346094
0.0,0.0,0.0,392.1695155490768,403.8630967863899
0.0,0.0,0.0,391.6984828897424,402.2585828182018
0.0,0.0,0.0,391.69525414861033,402.47286154297564
0.0,0.0,0.0,392.2656170726417,401.6530487987761
0.0,0.0,0.0,394.37013188379433,402.82330201533404
0.0,0.0,0.0,394.3593507600069,402.25375625259994
0.0,0.0,0.0,394.12238369992014,402.3710723860584
0.0,0.0,0.0,394.19192847755306,402.81902683898716
0.0,0.0,0.0,395.04802333517983,404.1429756528629
0.0,0.0,0.0,396.2695768732171,403.97059276771574
0.0,0.0,0.0,396.7137913354196,403.5238989940062
0.0,0.0,0.0,396.17587096316765,405.3818605503448
0.0,0.0,0.0,395.7733959544916,407.2918612484223
0.0,0.0,0.0,395.487771140657,407.43529690245225
0.0,0.0,0.0,396.6448760692592,407.3476775231986
0.0,0.0,0.0,397.0883389122799,406.99606685773983
0.0,0.0,0.0,396.6564988785104,406.72533892401435
0.0,0.0,0.0,396.05694404342574,408.2558317252727
0.0,0.0,0.0,395.94840347889556,409.85465124835264
0.0,0.0,0.0,393.3240826551603,409.7252383680942
0.0,0.0,0.0,393.98618948891067,409.28552215357945
0.0,0.0,0.0,395.1710650251084,409.78591637714624
0.0,0.0,0.0,394.9689135442612,410.07412227480944
0.0,0.0,0.0,397.8562733213119,410.1749904621618
0.0,0.0,0.0,398.18794387141634,409.5823619752843
0.0,0.0,0.0,398.348633148786,408.1493539574252
0.0,0.0,0.0,398.17512319561206,410.48469147363386
0.0,0.0,0.0,399.26972420798245,410.9688294475551
0.0,0.0,0.0,400.38461170857295,412.686040297844
0.0,0.0,0.0,400.9724429491641,414.5666159177238
0.0,0.0,0.0,402.02766825755657,414.51462259480326
0.0,0.0,0.0,403.7167422759362,411.9376760309141
0.0,0.0,0.0,403.08965040080216,412.02438971626464
0.0,0.0,0.0,402.13122366639556,411.68795653295183
0.0,0.0,0.0,401.4604739717549,410.858212416639
0.0,0.0,0.0,404.150502594447,411.3228037217243
0.0,0.0,0.0,404.03430437864097,412.4681217178722
0.0,0.0,0.0,403.7364607712476,413.16643113345754
0.0,0.0,0.0,404.0312391306118,414.595498841444
0.0,0.0,0.0,402.55090980158417,415.1422768665864
