N1,N2,D,C_real1,C_real2
0.0,0.0,0.0,400.0,400.0
0.0,0.0,0.0,399.4033503583158,399.41140562031177
0.0,0.0,0.0,398.5384822472747,399.44988390927216
0.0,0.0,0.0,396.319438459285,399.18308257249106
0.0,0.0,0.0,397.41073947718786,400.02522502195217
0.0,0.0,0.0,398.57868176932317,401.12332141758367
0.0,0.0,0.0,400.1079017919619,399.96781379473344
0.0,0.0,0.0,400.95099596816186,398.10852776284815
0.0,0.0,0.0,400.3111061789897,396.24516754864214
0.0,0.0,0.0,401.32205958950834,397.66775536389775
0.0,0.0,0.0,401.0755795827026,399.5066184986501
0.0,0.0,0.0,400.3721666899779,399.67718777520776
0.0,0.0,0.0,400.51397006107254,398.62339451596125
0.0,0.0,0.0,400.92908251707564,400.5981466629832
0.0,0.0,0.0,399.8875679178787,401.49116039571203
0.0,0.0,0.0,399.7475762870339,403.2255915532474
0.0,0.0,0.0,400.2629751124586,403.825599957682
0.0,0.0,0.0,400.9306947651292,403.98880166628084
0.0,0.0,0.0,399.5454356962208,405.2961676938222
0.0,0.0,0.0,398.2275910042063,405.40928251483996
0.0,0.0,0.0,398.9257077589824,404.43277747233
0.0,0.0,0.0,399.13094191440797,405.49011153883987
0.0,0.0,0.0,399.1707466726161,404.4682290909089
0.0,0.0,0.0,396.3098275800805,403.3869852926263
0.0,0.0,0.0,395.83071868959377,402.7631458837481
0.0,0.0,0.0,394.98872114657587,403.04353451205185
0.0,0.0,0.0,394.5536204158083,402.82398865356663
0.0,0.0,0.0,395.38055065529875,401.8600287092012
0.0,0.0,0.0,395.20147214538093,403.93844179618884
0.0,0.0,0.0,396.2176315430172,402.51593278011774
0.0,0.0,0.0,396.2450125415832,402.99229289681375
0.0,0.0,0.0,397.58878664075445,403.04241665520067
0.0,0.0,0.0,397.1380017369036,402.22262472156376
0.0,0.0,0.0,397.86667067971126,402.46166874088715
0.0,0.0,0.0,397.41878267920686,402.19891205884875
0.0,0.0,0.0,397.07954395892574,402.8523450011683
0.0,0.0,0.0,396.4795725305659,403.24979189308146
0.0,0.0,0.0,397.43805964799225,403.6331325858934
0.0,0.0,0.0,396.6918094861038,404.874067470224
0.0,0.0,0.0,396.1286777283441,405.1619334687378
0.0,0.0,0.0,395.5056788147446,403.2681281701425
0.0,0.0,0.0,395.86094349361247,403.44404181744204
0.0,0.0,0.0,395.90625316723896,403.6077849008326
0.0,0.0,0.0,395.38086073529263,402.7545910359926
0.0,0.0,0.0,395.3410475680469,404.56355913731363
0.0,0.0,0.0,396.29952648833165,403.9013339036022
0.0,0.0,0.0,396.97456125517624,403.30363477528283
0.0,0.0,0.0,396.61331463737116,404.0627316737574
0.0,0.0,0.0,396.19844560894603,402.26656072817536
0.0,0.0,0.0,395.3975191451913,402.2724326025009
0.0,0.0,0.0,395.64956348678805,403.4249633239634
0.0,0.0,0.0,395.0609974356662,404.04285141122665
0.0,0.0,0.0,395.63290405578545,403.7613400360383
0.0,0.0,0.0,396.59928188497264,404.1320113505695
0.0,0.0,0.0,395.848246005486,405.081453274369
0.0,0.0,0.0,394.7634860536586,404.9909812501927
0.0,0.0,0.0,394.9262978864152,405.2589322907274
0.0,0.0,0.0,394.359631012955,405.0624438455799
0.0,0.0,0.0,394.38923902340576,405.89797305232884
0.0,0.0,0.0,393.7695556170627,405.790179113464
0.0,0.0,0.0,393.6979367861059,404.3091148011213
0.0,0.0,0.0,396.55346962608814,404.0883696278238
0.0,0.0,0.0,395.17878871078995,405.3753918422415
0.0,0.0,0.0,394.2620942060272,405.58405811158656
0.0,0.0,0.0,395.30157059914404,404.76128950589225
0.0,0.0,0.0,395.01683473602526,404.0739221482593
0.0,0.0,0.0,395.0346779045317,402.3178954462679
0.0,0.0,0.0,393.93178685219146,402.0840748320554
0.0,0.0,0.0,395.12698047060195,402.6193395831648
0.0,0.0,0.0,396.9894320656537,403.21416288858626
0.0,0.0,0.0,396.57325943869944,402.99330919306095
0.0,0.0,0.0,394.6456273913755,401.9362740469162
0.0,0.0,0.0,393.76390887494523,402.1194981879388
0.0,0.0,0.0,394.57212475373484,401.4604875817316
0.0,0.0,0.0,394.12014816537334,399.8369175425706
0.0,0.0,0.0,394.12631804002444,400.04179765156124
0.0,0.0,0.0,394.7075280649695,399.21113780644805
0.0,0.0,0.0,396.8114337017373,400.38200019739077
0.0,0.0,0.0,396.79258912947586,399.8205178831307
0.0,0.0,0.0,396.54333902947076,399.9501170565075
0.0,0.0,0.0,396.603815452688,400.4071398638519
0.0,0.0,0.0,397.4541499738787,401.73684901416374
0.0,0.0,0.0,398.67386410970545,401.5663055312271
0.0,0.0,0.0,399.10514609371694,401.13254423570856
0.0,0.0,0.0,398.5475677751188,403.0101637383934
0.0,0.0,0.0,398.14520887598013,404.9200483269335
0.0,0.0,0.0,397.87819406546555,405.0448739776434
0.0,0.0,0.0,399.0567641419673,404.93578945049023
0.0,0.0,0.0,399.511070163564,404.5733356064553
0.0,0.0,0.0,399.0833773768404,404.2984604256839
0.0,0.0,0.0,398.48912995983153,405.8236458088665
0.0,0.0,0.0,398.4027705344599,407.4002841927879
0.0,0.0,0.0,395.81360040791,407.2357206153441
0.0,0.0,0.0,396.5297250358729,406.7419866066169
0.0,0.0,0.0,397.7581303320995,407.1988510701548
0.0,0.0,0.0,397.59268402270055,407.4503517963698
0.0,0.0,0.0,400.51953347955526,407.5117303039181
0.0,0.0,0.0,400.8671803831638,406.90312546353647
0.0,0.0,0.0,401.03595727908214,405.46202982712873
0.0,0.0,0.0,400.8575362436173,407.8022784256283
0.0,0.0,0.0,401.9674466881554,408.2711069673818
0.0,0.0,0.0,403.0922859346719,409.97836607174474
0.0,0.0,0.0,403.69457840153956,411.84448046534806
0.0,0.0,0.0,404.7741573004839,411.7681335518756
0.0,0.0,0.0,406.47797330627645,409.17644500057355
0.0,0.0,0.0,405.8310425183079,409.2829975987586
0.0,0.0,0.0,404.85910160804303,408.9600785913041
0.0,0.0,0.0,404.1802320034108,408.1384543849828
0.0,0.0,0.0,406.86112063694225,408.6121856792289
0.0,0.0,0.0,406.7182644985359,409.78416159797706
0.0,0.0,0.0,406.40468023232233,410.4982116723827
0.0,0.0,0.0,406.69217412132053,411.9345638507352
0.0,0.0,0.0,405.2138593210079,412.4793273471626
