Temperature,Pressure,Humidity,CO2 (ppm),DUST TSP,DUST PM2.5,DUST PM10,door,window,occupancy
22.93,746.53845,16.77,472,10,9,10,1,0,0
22.93,746.5235,16.79,470,10,9,10,1,0,0
22.94,746.5235,16.76,471,11,10,11,1,0,0
22.94,746.5235,16.8,471,12,10,12,1,0,0
22.94,746.5235,16.79,471,12,11,12,1,0,0
22.94,746.5235,16.8,470,10,10,10,1,0,0
22.94,746.5085,16.77,470,9,9,9,1,0,0
22.94,746.516,16.75,470,10,9,10,1,0,0
22.94,746.516,16.77,469,9,8,9,1,0,0
22.94,746.5085,16.77,470,9,9,9,1,0,0
22.94,746.501,16.8,469,10,9,10,1,0,0
22.94,746.4485,16.79,471,10,9,10,1,0,0
22.94,746.4335,16.8,469,10,10,10,1,0,0
22.95,746.41846,16.79,468,10,10,10,1,0,0
22.95,746.381,16.8,468,10,9,10,1,0,0
22.94,746.381,16.79,468,10,10,10,1,0,0
22.95,746.3884,16.83,468,10,10,10,1,0,0
22.95,746.381,16.77,468,11,10,11,1,0,0
22.95,746.3735,16.79,469,11,10,11,1,0,0
22.95,746.3735,16.8,468,10,10,10,1,0,0
22.95,746.36597,16.75,468,9,9,9,1,0,0
22.95,746.35095,16.79,466,10,9,10,1,0,0
22.95,746.35095,16.76,468,11,10,11,1,0,0
22.96,746.3735,16.78,467,12,10,12,1,0,0
22.96,746.3884,16.79,467,10,10,10,1,0,0
22.96,746.3884,16.8,467,9,9,9,1,0,0
22.96,746.39594,16.77,467,9,9,9,1,0,0
22.96,746.39594,16.78,468,10,9,10,1,0,0
22.96,746.41095,16.81,466,11,10,11,1,0,0
22.96,746.41095,16.79,466,10,9,10,1,0,0
22.97,746.42596,16.79,467,10,9,10,1,0,0
22.97,746.4335,16.78,467,10,10,10,1,0,0
22.97,746.42596,16.8,466,10,10,10,1,0,0
22.97,746.42596,16.82,464,11,10,11,1,0,0
22.97,746.42596,16.81,466,11,10,11,1,0,0
22.97,746.4335,16.82,468,10,9,10,1,0,0
22.97,746.441,16.77,467,10,9,10,1,0,0
22.97,746.4335,16.78,466,10,9,10,1,0,0
22.98,746.42596,16.8,465,9,9,9,1,0,0
22.98,746.41846,16.79,464,11,10,11,1,0,0
22.98,746.42596,16.78,466,10,9,10,1,0,0
22.98,746.4485,16.78,465,10,9,10,1,0,0
22.98,746.4635,16.78,465,10,9,10,1,0,0
22.98,746.4485,16.78,464,11,10,11,1,0,0
22.98,746.441,16.79,464,10,9,10,1,0,0
22.98,746.456,16.81,464,9,9,9,1,0,0
22.98,746.471,16.8,463,11,10,11,1,0,0
22.98,746.49347,16.81,464,11,10,11,1,0,0
22.98,746.49347,16.79,463,10,10,10,1,0,0
22.98,746.501,16.8,463,11,10,11,1,0,0
22.98,746.49347,16.81,462,11,10,11,1,0,0
22.98,746.48596,16.82,463,10,10,10,1,0,0
22.98,746.49347,16.78,463,10,10,10,1,0,0
22.99,746.49347,16.8,463,10,9,10,1,0,0
22.98,746.49347,16.8,464,9,9,9,1,0,0
22.98,746.49347,16.79,463,10,9,10,1,0,0
22.99,746.5085,16.81,462,10,10,10,1,0,0
22.99,746.516,16.81,460,10,9,10,1,0,0
22.99,746.516,16.8,462,10,9,10,1,0,0
22.99,746.53845,16.8,463,11,9,11,1,0,0
22.99,746.53094,16.82,464,10,9,10,1,0,0
22.99,746.54596,16.79,462,9,9,9,1,0,0
22.99,746.55347,16.78,462,10,9,10,1,0,0
22.99,746.591,16.85,462,10,10,10,1,0,0
23,746.5835,16.81,463,10,10,10,1,0,0
22.99,746.5685,16.78,461,10,10,10,1,0,0
23,746.5685,16.81,462,11,9,11,1,0,0
23,746.5685,16.79,460,9,9,9,1,0,0
23,746.55347,16.82,461,10,9,10,1,0,0
23,746.55347,16.78,460,11,10,11,1,0,0
23,746.53845,16.83,460,9,9,9,1,0,0
23.01,746.53094,16.8,460,9,9,9,1,0,0
23.01,746.53094,16.79,459,9,9,9,1,0,0
23.01,746.53094,16.81,459,10,9,10,1,0,0
23.01,746.53094,16.8,460,9,9,9,1,0,0
23.01,746.53094,16.8,459,9,9,9,1,0,0
23.01,746.5235,16.81,459,10,9,10,1,0,0
23.01,746.53094,16.81,459,9,9,9,1,0,0
23.01,746.5085,16.82,458,10,9,10,1,0,0
23.01,746.5235,16.83,458,9,9,9,1,0,0
23.02,746.53094,16.81,458,11,9,11,1,0,0
23.02,746.53094,16.8,457,9,9,9,1,0,0
23.02,746.53845,16.8,458,10,9,10,1,0,0
23.02,746.53845,16.81,458,10,10,10,1,0,0
23.02,746.53845,16.83,460,11,9,11,1,0,0
23.02,746.516,16.83,457,10,10,10,1,0,0
23.02,746.5235,16.82,457,9,8,9,1,0,0
23.03,746.53094,16.83,457,9,9,9,1,0,0
23.03,746.53094,16.83,458,11,10,11,1,0,0
23.03,746.54596,16.82,458,10,9,10,1,0,0
23.03,746.53094,16.82,458,11,9,11,1,0,0
23.03,746.55347,16.81,455,10,9,10,1,0,0
23.04,746.55347,16.79,457,10,9,10,1,0,0
23.03,746.53845,16.83,457,9,9,9,1,0,0
23.04,746.561,16.83,457,9,8,9,1,0,0
23.04,746.561,16.82,455,8,8,8,1,0,0
23.04,746.5685,16.79,457,10,9,10,1,0,0
23.04,746.5835,16.83,456,9,9,9,1,0,0
