Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,11,0,0,22.6,754,16,13,16,449.33,4,2,1,1,0
2023,5,11,0,5,22.6,754,16,14,18,451.5,4,2,1,1,0
2023,5,11,0,10,22.5,754,16,13,15,450.67,4,2,1,1,0
2023,5,11,0,15,22.4,754,15,12,14,442.5,4,2,1,1,0
2023,5,11,0,20,22.3,754,15,10,12,435.33,4,2,1,1,0
2023,5,11,0,25,22.2,754,15,10,12,428.5,4,2,1,1,0
2023,5,11,0,30,22.2,754,14,9,10,423,4,2,1,1,0
2023,5,11,0,35,22,754,14,9,9,419.33,4,2,1,1,0
2023,5,11,0,40,21.9,754,14,10,10,418,4,2,1,1,0
2023,5,11,0,45,21.8,754,14,9,10,417.33,4,2,1,1,0
2023,5,11,0,50,21.7,754,14,9,12,414,4,2,1,1,0
2023,5,11,0,55,21.6,754,14,8,10,414.67,4,2,1,1,0
2023,5,11,1,0,21.5,754,14,8,10,413,4,2,1,1,0
2023,5,11,1,5,21.4,754,14,9,10,413.33,4,2,1,1,0
2023,5,11,1,10,21.3,754,14,10,11,413,4,2,1,1,0
2023,5,11,1,15,21.3,754,14,9,10,417.67,4,2,1,1,0
2023,5,11,1,20,21.4,754,15,8,10,419.5,4,2,1,1,0
2023,5,11,1,25,21.5,754,15,8,10,422.67,4,2,1,1,0
2023,5,11,1,30,21.6,754,15,8,10,424.5,4,2,1,1,0
2023,5,11,1,35,21.8,754,15,9,10,424.33,4,2,1,1,0
2023,5,11,1,40,21.9,754,15,8,9,424,4,2,1,1,0
2023,5,11,1,45,22,754,15,8,9,424.33,4,2,1,1,0
2023,5,11,1,50,22.2,754,15,8,10,425.5,4,2,1,1,0
2023,5,11,1,55,22.3,754,15,8,9,425,4,2,1,1,0
2023,5,11,2,5,22.5,753,15,8,10,424.33,4,2,1,1,0
2023,5,11,2,10,22.6,753,15,8,8,424,4,2,1,1,0
2023,5,11,2,15,22.7,753,15,8,8,423.33,4,2,1,1,0
2023,5,11,2,20,22.8,753,15,8,10,423,4,2,1,1,0
2023,5,11,2,25,22.9,753,15,8,8,422,4,2,1,1,0
2023,5,11,2,30,23,753,15,7,8,422,4,2,1,1,0
2023,5,11,2,35,23,753,15,8,8,421.67,4,2,1,1,0
2023,5,11,2,40,23.1,753,15,8,8,420.5,4,2,1,1,0
2023,5,11,2,45,23.2,753,15,7,8,421.33,4,2,1,1,0
2023,5,11,2,50,23.3,753,15,7,8,420,4,2,1,1,0
2023,5,11,2,55,23.3,753,15,7,8,420.33,4,2,1,1,0
2023,5,11,3,0,23.4,753,15,6,7,417,4,2,1,1,0
2023,5,11,3,5,23.4,753,15,7,7,417.67,4,2,1,1,0
2023,5,11,3,10,23.5,753,15,6,8,418,4,2,1,1,0
2023,5,11,3,15,23.5,753,15,6,7,416,4,2,1,1,0
2023,5,11,3,20,23.6,753,15,6,6,416,4,2,1,1,0
2023,5,11,3,25,23.6,753,15,6,7,415.33,4,2,1,1,0
2023,5,11,3,30,23.7,753,15,6,6,416,4,2,1,1,0
2023,5,11,3,35,23.7,753,15,6,7,414,4,2,1,1,0
2023,5,11,3,40,23.7,753,15,6,6,414,4,2,1,1,0
2023,5,11,3,45,23.8,753,15,6,6,413,4,2,1,1,0
2023,5,11,3,50,23.8,753,15,6,6,412,4,2,1,1,0
2023,5,11,3,55,23.8,752,15,5,6,411.33,4,2,1,1,0
2023,5,11,4,0,23.9,752,15,6,6,411.5,4,1,1,1,0
2023,5,11,4,5,23.9,752,15,5,6,411.67,4,1,1,1,0
2023,5,11,4,10,23.9,752,15,5,6,410,4,1,1,1,0
2023,5,11,4,15,23.9,752,15,5,5,409.33,4,1,1,1,0
2023,5,11,4,20,24,752,15,5,6,409,4,1,1,1,0
2023,5,11,4,25,24,752,15,5,6,408.67,4,1,1,1,0
2023,5,11,4,30,24,752,15,5,5,408,4,1,1,1,0
2023,5,11,4,35,24,752,15,5,5,408.33,4,1,1,1,0
2023,5,11,4,40,24,752,15,5,5,407,4,1,1,1,0
2023,5,11,4,45,24.1,752,15,5,6,407,4,1,1,1,0
2023,5,11,4,50,24.1,752,15,6,6,407.5,4,1,1,1,0
2023,5,11,4,55,24.1,752,15,5,6,407,4,1,1,1,0
2023,5,11,5,5,24.1,752,14,5,5,406,4,1,1,1,0
2023,5,11,5,10,24.1,752,14,5,6,406,4,1,1,1,0
2023,5,11,5,15,24.2,752,14,5,5,406.67,4,1,1,1,0
2023,5,11,5,20,24.2,752,14,5,6,405.5,4,1,1,1,0
2023,5,11,5,25,24.2,752,14,5,6,405.33,4,1,1,1,0
2023,5,11,5,30,24.2,752,14,5,6,405.5,4,1,1,1,0
2023,5,11,5,35,24.2,752,14,5,5,405.33,4,1,1,1,0
2023,5,11,5,40,24.2,752,14,5,6,406.5,4,1,1,1,0
2023,5,11,5,45,24.2,752,14,5,6,403.67,4,1,1,1,0
2023,5,11,5,50,24.2,752,14,5,6,403.5,4,1,1,1,0
2023,5,11,5,55,24.2,752,14,6,6,407.33,4,1,1,1,0
2023,5,11,6,0,24.2,752,14,6,6,412,4,1,1,1,0
2023,5,11,6,5,24.2,752,14,6,7,415,4,1,1,1,0
2023,5,11,6,10,24.2,751,14,6,7,416.5,4,1,1,1,0
2023,5,11,6,15,24.2,751,14,6,6,416.67,4,1,1,1,0
2023,5,11,6,20,24.2,751,14,6,7,417,4,1,1,1,0
2023,5,11,6,25,24.2,751,13,6,7,415.67,4,1,1,1,0
2023,5,11,6,30,24.2,751,13,7,8,414.5,4,1,1,1,0
2023,5,11,6,35,24.2,751,13,7,8,414.67,4,1,1,1,0
2023,5,11,6,40,24.2,751,13,6,9,414,4,1,1,1,0
2023,5,11,6,45,24.2,751,13,7,8,415,4,1,1,1,0
2023,5,11,6,50,24.2,751,13,8,9,417,4,1,1,1,0
2023,5,11,6,55,24.2,751,14,7,9,416.67,4,1,1,1,0
2023,5,11,7,0,24.2,751,14,8,9,420.5,4,2,1,1,0
2023,5,11,7,5,24.2,751,13,8,9,424.67,4,2,1,1,0
2023,5,11,7,10,24.1,751,13,8,10,423.5,4,2,1,1,0
2023,5,11,7,15,24,751,17,9,11,432.67,4,2,1,1,0
2023,5,11,7,20,23.8,751,19,9,11,429.5,4,2,1,1,0
2023,5,11,7,25,23.8,751,17,9,10,423.33,4,2,1,1,0
2023,5,11,7,30,23.6,751,16,8,9,422.5,4,2,1,1,0
2023,5,11,7,35,23.4,751,15,9,10,419.67,4,2,1,1,0
2023,5,11,7,40,23.2,751,15,9,10,419,4,2,1,1,0
2023,5,11,7,45,23.1,751,16,9,11,421,4,2,1,1,0
2023,5,11,7,50,23.2,751,16,9,10,423,4,2,1,1,0
2023,5,11,7,55,23.2,751,16,9,11,430.33,4,2,1,1,0
2023,5,11,8,5,23.4,751,16,10,12,449.67,4,2,1,1,0
2023,5,11,8,10,23.4,751,17,10,12,457.5,4,2,1,1,0
2023,5,11,8,15,23.5,751,16,11,14,458.33,4,2,1,1,0
2023,5,11,8,20,23.5,751,16,11,13,460,4,2,1,1,0
2023,5,11,8,25,23.6,751,16,12,14,461.67,4,2,1,1,1
2023,5,11,8,30,23.7,751,17,12,18,472.5,4,2,1,1,1
2023,5,11,8,35,23.7,751,17,12,17,505,4,2,1,1,2
2023,5,11,8,40,23.8,751,17,26,32,509,4,2,1,1,1
2023,5,11,8,45,23.8,751,17,23,30,517.67,4,2,1,1,1
2023,5,11,8,50,23.9,751,17,12,14,521.5,4,2,1,1,1
2023,5,11,8,55,23.9,751,17,14,17,533.33,4,2,1,1,1
2023,5,11,9,0,24,751,17,30,35,560,4,3,1,1,3
2023,5,11,9,5,24,751,17,19,24,548,4,3,1,1,3
2023,5,11,9,10,24,751,17,159,182,561,4,3,1,1,3
2023,5,11,9,15,24.1,751,17,123,149,593,4,3,1,1,3
2023,5,11,9,20,24,751,18,78,92,646.5,4,3,1,1,3
2023,5,11,9,25,23.9,751,18,85,102,646,4,3,1,1,3
2023,5,11,9,30,23.8,750,18,192,229,653,4,3,1,1,3
2023,5,11,9,35,23.7,750,17,101,123,582.67,4,3,1,0,3
2023,5,11,9,40,23.4,750,17,69,90,540,4,3,1,0,3
2023,5,11,9,45,23.2,750,17,22,27,561.67,4,3,1,0,3
2023,5,11,9,50,23,750,18,94,116,561.5,4,3,1,0,3
2023,5,11,9,55,23,750,18,153,250,563,4,3,1,0,3
2023,5,11,10,0,23,750,18,21,25,505,4,7,1,0,2
2023,5,11,10,5,23,750,18,21,25,515,4,7,1,0,2
2023,5,11,10,10,23,750,18,55,64,533,4,7,1,0,3
2023,5,11,10,15,23,750,18,23,29,519.33,4,7,1,0,3
2023,5,11,10,20,23,750,18,42,52,507,4,7,1,0,3
2023,5,11,10,25,23,750,18,148,174,540.33,4,7,1,0,2
2023,5,11,10,30,23,750,18,28,34,534.5,4,7,1,0,3
2023,5,11,10,35,23.1,750,18,50,62,579.33,4,7,1,0,3
2023,5,11,10,40,23.1,750,19,83,100,592.5,4,7,1,0,3
2023,5,11,10,45,23.2,750,19,107,129,572.33,4,7,1,0,3
2023,5,11,10,50,23.2,750,19,38,48,580.5,4,7,1,0,3
2023,5,11,10,55,23.3,750,19,32,40,583,4,7,1,0,3
2023,5,11,11,5,23.3,750,19,42,53,568.33,4,7,1,0,3
2023,5,11,11,10,23.4,750,19,34,44,592,4,7,1,0,3
2023,5,11,11,15,23.4,750,19,45,55,568.33,4,7,1,0,2
2023,5,11,11,20,23.4,749,18,30,40,537.5,4,7,1,0,2
2023,5,11,11,25,23.4,749,18,27,33,540,4,7,1,0,2
2023,5,11,11,30,23.3,749,19,51,62,608.5,4,7,1,0,2
2023,5,11,11,35,23.3,749,19,31,40,607.33,4,7,1,0,1
2023,5,11,11,40,23.4,749,19,28,34,618,4,7,1,0,1
2023,5,11,11,45,23.4,749,19,26,32,620.33,4,7,1,0,1
2023,5,11,11,50,23.5,749,19,26,33,601,4,7,1,0,0
2023,5,11,11,55,23.5,749,19,27,33,574.33,4,7,1,0,0
2023,5,11,12,0,23.4,748,19,24,31,541,4,4,1,0,0
2023,5,11,12,5,23.3,748,19,26,34,518,4,4,1,0,0
2023,5,11,12,10,23.3,748,19,26,34,501.5,4,4,1,0,0
2023,5,11,12,15,23.3,748,18,26,34,490.67,4,4,1,0,0
2023,5,11,12,20,23.3,748,18,26,32,476,4,4,1,0,0
2023,5,11,12,25,23.2,748,18,26,32,466.67,4,4,1,0,0
2023,5,11,12,30,23.2,748,18,27,32,458,4,4,1,0,0
2023,5,11,12,35,23.2,748,18,26,31,456,4,4,1,0,0
2023,5,11,12,40,23.2,748,18,26,33,454.5,4,4,1,0,0
2023,5,11,12,45,23.2,748,18,28,35,454.67,4,4,1,0,0
2023,5,11,12,50,23.2,748,18,28,33,464,4,4,1,0,0
2023,5,11,12,55,23.3,747,18,29,35,474.67,4,4,1,0,0
2023,5,11,13,0,23.5,747,18,28,36,480.5,4,4,1,0,0
2023,5,11,13,5,23.5,747,18,29,35,482,4,4,1,0,0
2023,5,11,13,10,23.6,747,18,30,34,484.5,4,4,1,0,0
2023,5,11,13,15,23.7,747,18,29,36,482.33,4,4,1,0,0
2023,5,11,13,20,23.8,747,18,30,36,481,4,4,1,0,0
2023,5,11,13,25,23.9,747,18,29,33,478.33,4,4,1,0,0
2023,5,11,13,30,23.9,747,18,28,34,477.5,4,4,1,0,0
2023,5,11,13,35,23.9,747,18,29,35,496,4,4,1,0,0
2023,5,11,13,40,24,747,18,28,34,496,4,4,1,0,0
2023,5,11,13,45,24,747,18,27,31,491.33,4,4,1,0,0
2023,5,11,13,50,24,747,18,27,32,489,4,4,1,0,0
2023,5,11,13,55,24.1,747,18,28,31,488.67,4,4,1,0,0
2023,5,11,14,5,24.1,746,18,26,32,494.67,4,4,1,0,0
2023,5,11,14,10,24.2,747,19,26,30,509,4,4,1,0,0
2023,5,11,14,15,24.2,746,19,26,29,524.33,4,4,1,0,0
2023,5,11,14,20,24.2,746,19,26,31,528.5,4,4,1,0,0
2023,5,11,14,25,24.2,746,19,26,31,544.33,4,4,1,0,0
2023,5,11,14,30,24.3,746,19,26,30,548.5,4,4,1,0,0
2023,5,11,14,35,24.3,746,19,26,30,551.33,4,4,1,0,0
2023,5,11,14,40,24.3,746,19,24,28,546,4,4,1,0,0
2023,5,11,14,45,24.3,746,19,25,28,546.33,4,4,1,0,0
2023,5,11,14,50,24.4,746,19,26,30,550,4,4,1,0,0
2023,5,11,14,55,24.4,746,19,25,29,548.67,4,4,1,0,0
2023,5,11,15,0,24.4,745,18,26,28,548,4,4,1,0,0
2023,5,11,15,5,24.4,745,18,25,30,549,4,4,1,0,0
2023,5,11,15,10,24.5,746,18,24,27,552.5,4,4,1,0,0
2023,5,11,15,15,24.5,745,18,25,29,549.33,4,4,1,0,0
2023,5,11,15,20,24.5,745,18,26,31,542.5,4,4,1,0,0
2023,5,11,15,25,24.5,745,18,26,30,539.33,4,4,1,0,0
2023,5,11,15,30,24.5,745,18,26,30,539.5,4,4,1,0,0
2023,5,11,15,35,24.5,745,18,26,31,539,4,4,1,0,0
2023,5,11,15,40,24.5,745,18,26,30,536.5,4,4,1,0,0
2023,5,11,15,45,24.5,745,18,26,30,533.33,4,4,1,0,0
2023,5,11,15,50,24.5,745,18,24,28,536,4,4,1,0,0
2023,5,11,15,55,24.5,745,18,27,32,535.33,4,4,1,0,0
2023,5,11,16,0,24.5,745,18,26,32,533,4,4,1,0,0
2023,5,11,16,5,24.5,745,18,27,32,533,4,4,1,0,0
2023,5,11,16,10,24.6,745,18,26,30,533,4,4,1,0,0
2023,5,11,16,15,24.6,745,18,26,31,532,4,4,1,0,0
2023,5,11,16,20,24.6,745,18,26,32,531,4,4,1,0,0
2023,5,11,16,25,24.6,745,18,26,30,532.67,4,4,1,0,0
2023,5,11,16,30,24.6,745,18,26,32,535,4,4,1,0,0
2023,5,11,16,35,24.6,745,18,27,30,534.67,4,4,1,0,0
2023,5,11,16,40,24.6,745,18,26,31,538,4,4,1,0,0
2023,5,11,16,45,24.7,745,18,26,30,539.33,4,4,1,0,0
2023,5,11,16,50,24.7,745,18,26,30,543,4,4,1,0,0
2023,5,11,16,55,24.7,745,18,26,29,548.33,4,4,1,0,0
2023,5,11,17,5,24.7,745,18,25,29,555.67,4,4,1,0,0
2023,5,11,17,10,24.7,745,18,25,28,575.5,4,4,1,0,0
2023,5,11,17,15,24.7,744,18,25,30,582.67,4,4,1,0,0
2023,5,11,17,20,24.7,744,19,26,32,606.5,4,4,1,0,0
2023,5,11,17,25,24.7,744,19,26,31,622,4,4,1,0,0
2023,5,11,17,30,24.7,744,19,27,32,625.5,4,4,1,0,0
2023,5,11,17,35,24.7,745,19,30,36,639.33,4,4,1,0,0
2023,5,11,17,40,24.7,745,19,30,36,641.5,4,4,1,0,0
2023,5,11,17,45,24.7,745,19,30,35,635.33,4,4,1,0,0
2023,5,11,17,50,24.6,745,19,32,38,629,4,4,1,0,0
2023,5,11,17,55,24.6,745,19,31,36,626,4,4,1,0,0
2023,5,11,18,0,24.6,745,19,32,37,626,4,4,1,0,0
2023,5,11,18,5,24.6,744,19,30,37,623.67,4,4,1,0,0
2023,5,11,18,10,24.6,744,19,31,38,619,4,4,1,0,0
2023,5,11,18,15,24.6,744,19,31,38,611,4,4,1,0,0
2023,5,11,18,20,24.6,744,19,32,38,606.5,4,4,1,0,0
2023,5,11,18,25,24.6,744,19,32,39,604,4,4,1,0,0
