Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,1,0,0,22.7,747,17,12,14,469,4,2,1,0,0
2023,5,1,0,5,22.7,747,17,11,12,467.67,4,2,1,0,0
2023,5,1,0,10,22.8,747,17,11,13,468.5,4,2,1,0,0
2023,5,1,0,15,22.8,747,17,11,13,469,4,2,1,0,0
2023,5,1,0,20,22.8,747,17,12,12,470,4,2,1,0,0
2023,5,1,0,25,22.8,747,17,11,12,469.67,4,2,1,0,0
2023,5,1,0,30,22.8,747,17,12,12,470.5,4,2,1,0,0
2023,5,1,0,35,22.8,747,17,11,12,471.33,4,2,1,0,0
2023,5,1,0,40,22.8,747,17,12,13,472.5,4,2,1,0,0
2023,5,1,0,45,22.8,747,17,11,12,472.33,4,2,1,0,0
2023,5,1,0,50,22.8,747,17,10,12,473,4,2,1,0,0
2023,5,1,0,55,22.8,747,17,11,12,473.67,4,2,1,0,0
2023,5,1,1,0,22.8,747,17,12,12,473.5,4,2,1,0,0
2023,5,1,1,5,22.8,747,17,11,12,474.67,4,2,1,0,0
2023,5,1,1,10,22.8,747,17,12,14,474.5,4,2,1,0,0
2023,5,1,1,15,22.8,747,17,11,12,475,4,2,1,0,0
2023,5,1,1,20,22.9,747,17,10,12,475.5,4,2,1,0,0
2023,5,1,1,25,22.9,747,17,11,12,474.33,4,2,1,0,0
2023,5,1,1,30,22.9,747,17,11,14,475.5,4,2,1,0,0
2023,5,1,1,35,22.9,747,17,11,12,476.33,4,2,1,0,0
2023,5,1,1,40,22.9,747,17,11,12,476,4,2,1,0,0
2023,5,1,1,45,22.9,747,17,10,11,475.67,4,2,1,0,0
2023,5,1,1,50,22.9,747,17,10,11,475,4,2,1,0,0
2023,5,1,1,55,22.9,747,17,10,11,475,4,2,1,0,0
2023,5,1,2,5,22.9,747,17,10,11,474.67,4,2,1,0,0
2023,5,1,2,10,22.9,747,17,10,12,475.5,4,2,1,0,0
2023,5,1,2,15,22.9,747,17,11,12,475.33,4,2,1,0,0
2023,5,1,2,20,22.9,747,17,11,12,475,4,2,1,0,0
2023,5,1,2,25,22.9,747,17,10,11,474.33,4,2,1,0,0
2023,5,1,2,30,22.9,747,17,10,12,474,4,2,1,0,0
2023,5,1,2,35,22.9,747,17,10,11,475,4,2,1,0,0
2023,5,1,2,40,22.9,747,17,10,12,474.5,4,2,1,0,0
2023,5,1,2,45,22.9,747,17,10,12,474.33,4,2,1,0,0
2023,5,1,2,50,22.9,747,17,10,12,473.5,4,2,1,0,0
2023,5,1,2,55,22.9,747,17,10,11,474.33,4,2,1,0,0
2023,5,1,3,0,22.9,747,17,10,12,474.5,4,2,1,0,0
2023,5,1,3,5,22.9,747,17,10,11,474.67,4,2,1,0,0
2023,5,1,3,10,22.9,747,17,10,12,473.5,4,2,1,0,0
