Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Door,occupancy
27.1,727,24,4,5,412.5,1,0
27.1,727,24,4,5,413,1,0
27.1,728,23,5,6,413.5,1,0
27.1,727,24,5,5,416,1,0
27.1,727,24,4,5,417.5,1,0
27.1,727,24,5,5,421.33,1,0
27,727,24,6,6,424.5,1,0
27,727,24,6,6,423.67,1,0
27,727,23,5,5,429,1,0
26.9,727,24,5,6,431.67,1,0
26.8,728,24,6,6,436.5,1,0
26.8,728,23,5,6,443.67,1,0
26.8,728,24,6,6,447.5,1,0
26.8,728,23,6,7,448.67,1,0
26.7,728,24,7,8,448.5,1,0
26.7,728,24,8,8,446,1,0
26.7,728,25,7,8,444.33,1,0
26.7,728,25,9,10,442,1,0
26.7,728,25,8,9,443.67,1,0
26.7,728,25,9,9,441.5,1,0
26.7,728,25,9,9,443.67,1,0
26.7,728,26,9,10,443,1,0
26.7,728,25,9,9,442,1,0
26.7,728,26,8,8,443,1,0
26.7,728,26,8,9,446.33,1,0
26.7,728,26,8,9,446.5,1,0
26.7,728,26,9,9,453,1,0
26.7,728,26,8,8,459.5,1,0
26.7,728,26,9,9,461.33,1,0
26.7,728,26,8,8,462,1,0
26.8,728,27,7,7,464,1,0
26.7,728,27,7,7,463.5,1,0
26.8,728,27,8,8,463.33,1,0
26.8,728,27,8,8,464,1,0
26.7,728,27,8,9,466,1,0
26.8,728,27,8,8,468,1,0
26.8,728,27,7,7,470.67,1,0
26.8,728,27,8,8,469.5,1,0
26.8,728,28,7,8,472,1,0
26.8,728,28,6,7,476.5,1,0
26.8,729,28,7,7,478.67,1,0
26.9,729,28,7,7,481.5,1,0
26.7,729,28,8,8,485.67,1,0
26.9,729,28,6,6,492.5,1,0
26.9,729,28,6,7,496.67,1,0
27,729,28,6,6,498,1,0
27,729,27,5,5,496,1,0
27,729,28,4,6,491,1,0
27,729,28,5,5,490,1,0
27,729,27,4,5,495,1,0
27.1,729,27,5,6,498,1,0
27.1,729,28,4,5,504.67,1,0
