Year,Month,Day,Hour,Minute,Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Critical pollutant InstantAQI,InstantAQI,Door,Window,Occupancy
2023,5,4,0,0,24,760,20,5,6,967.33,4,1,0,0,0
2023,5,4,0,5,24,760,20,4,6,966,4,1,0,0,0
2023,5,4,0,10,24,760,20,5,6,964.33,4,1,0,0,0
2023,5,4,0,15,24,760,20,4,6,962,4,1,0,0,0
2023,5,4,0,20,24,760,20,4,5,959,4,1,0,0,0
2023,5,4,0,25,24,760,20,4,6,957,4,1,1,0,0
2023,5,4,0,30,24,760,20,4,5,942.33,4,1,1,0,0
2023,5,4,0,35,24,760,20,5,6,914,4,1,1,0,0
2023,5,4,0,40,24,760,20,5,6,902,4,1,1,0,0
2023,5,4,0,45,24,760,20,5,5,893.5,4,1,1,0,0
2023,5,4,0,50,24,760,20,4,6,885.33,4,1,1,0,0
2023,5,4,0,55,24,760,20,4,5,875,4,1,1,0,0
2023,5,4,1,0,24,760,20,4,5,875.67,4,1,1,0,0
2023,5,4,1,5,23.9,760,20,4,5,881,4,1,1,0,0
2023,5,4,1,10,23.9,760,20,5,6,881.67,4,1,1,0,0
2023,5,4,1,15,23.9,760,20,4,6,883,4,1,1,0,0
2023,5,4,1,20,23.9,760,20,4,6,883.67,4,1,1,0,0
2023,5,4,1,25,23.9,760,20,5,6,883,4,1,1,0,0
2023,5,4,1,30,23.9,760,20,4,5,883,4,1,1,0,0
2023,5,4,1,35,23.9,760,20,4,6,881.5,4,1,1,0,0
2023,5,4,1,40,23.8,760,20,4,5,881.67,4,1,1,0,0
2023,5,4,1,45,23.8,760,20,4,5,880,4,1,1,0,0
2023,5,4,1,50,23.8,760,20,5,5,881,4,1,1,0,0
2023,5,4,1,55,23.8,760,20,4,6,878.5,4,1,1,0,0
2023,5,4,2,5,23.8,760,20,5,6,875,4,1,1,0,0
2023,5,4,2,10,23.8,760,20,4,5,872.33,4,1,1,0,0
2023,5,4,2,15,23.8,760,20,4,5,871.5,4,1,1,0,0
2023,5,4,2,20,23.8,760,20,4,5,870.33,4,1,1,0,0
2023,5,4,2,25,23.7,760,20,4,6,870,4,1,1,0,0
2023,5,4,2,30,23.7,760,20,4,6,866,4,1,1,0,0
2023,5,4,2,35,23.7,760,20,5,6,865.67,4,1,1,0,0
2023,5,4,2,40,23.7,760,20,4,5,865,4,1,1,0,0
2023,5,4,2,45,23.7,760,20,4,5,862,4,1,1,0,0
2023,5,4,2,50,23.7,760,20,4,6,856,4,1,1,0,0
2023,5,4,2,55,23.7,760,20,4,5,856.67,4,1,1,0,0
2023,5,4,3,0,23.7,760,20,4,5,854,4,1,1,0,0
2023,5,4,3,5,23.7,760,20,5,6,850,4,1,1,0,0
2023,5,4,3,10,23.7,760,20,4,4,849.5,4,1,1,0,0
2023,5,4,3,15,23.7,760,20,4,5,847.33,4,1,1,0,0
2023,5,4,3,20,23.7,760,20,5,6,845,4,1,1,0,0
2023,5,4,3,25,23.7,760,20,4,5,842.33,4,1,1,0,0
2023,5,4,3,30,23.7,760,20,4,5,841,4,1,1,0,0
2023,5,4,3,35,23.7,760,20,4,5,841.33,4,1,1,0,0
2023,5,4,3,40,23.7,760,20,5,5,839,4,1,1,0,0
2023,5,4,3,45,23.6,760,20,5,5,834,4,1,1,0,0
2023,5,4,3,50,23.6,760,20,6,6,832,4,1,1,0,0
2023,5,4,3,55,23.6,760,20,5,6,829,4,1,1,0,0
2023,5,4,4,0,23.6,760,20,5,6,826.5,4,1,1,0,0
2023,5,4,4,5,23.6,760,20,5,6,826.67,4,1,1,0,0
2023,5,4,4,10,23.6,760,20,5,6,825,4,1,1,0,0
2023,5,4,4,15,23.6,760,20,5,5,821.67,4,1,1,0,0
2023,5,4,4,20,23.6,760,20,4,5,820,4,1,1,0,0
2023,5,4,4,25,23.6,760,20,4,5,817.33,4,1,1,0,0
2023,5,4,4,30,23.6,760,20,4,5,814,4,1,1,0,0
2023,5,4,4,35,23.6,760,20,4,5,810.67,4,1,1,0,0
2023,5,4,4,40,23.6,760,20,5,6,809,4,1,1,0,0
2023,5,4,4,45,23.6,760,20,5,6,806.67,4,1,1,0,0
2023,5,4,4,50,23.6,760,20,6,6,805.5,4,1,1,0,0
2023,5,4,4,55,23.6,760,20,5,6,803.33,4,1,1,0,0
2023,5,4,5,5,23.6,760,20,5,5,799.67,4,1,1,0,0
2023,5,4,5,10,23.6,760,20,5,6,798.5,4,1,1,0,0
2023,5,4,5,15,23.6,760,20,4,5,796.67,4,1,1,0,0
2023,5,4,5,20,23.6,760,20,4,4,795,4,1,1,0,0
2023,5,4,5,25,23.6,760,20,5,6,790.67,4,1,1,0,0
2023,5,4,5,30,23.6,760,20,5,6,789.5,4,1,1,0,0
2023,5,4,5,35,23.6,760,20,5,6,788.67,4,1,1,0,0
2023,5,4,5,40,23.6,760,20,5,6,788.5,4,1,1,0,0
2023,5,4,5,45,23.6,760,20,5,6,783,4,1,1,0,0
2023,5,4,5,50,23.6,760,20,4,4,784.5,4,1,1,0,0
2023,5,4,5,55,23.6,760,20,4,5,781.33,4,1,1,0,0
2023,5,4,6,0,23.6,760,20,4,5,780,4,1,1,0,0
2023,5,4,6,5,23.6,760,20,5,5,778.33,4,1,1,0,0
2023,5,4,6,10,23.6,760,20,4,5,775.5,4,1,1,0,0
2023,5,4,6,15,23.6,760,20,5,5,775,4,1,1,0,0
2023,5,4,6,20,23.6,760,20,4,6,771,4,1,1,0,0
2023,5,4,6,25,23.6,760,20,5,6,770.33,4,1,1,0,0
2023,5,4,6,30,23.6,760,20,4,6,769,4,1,1,0,0
2023,5,4,6,35,23.6,760,20,5,6,768,4,1,1,0,0
2023,5,4,6,40,23.6,760,20,5,6,767.5,4,1,1,0,0
2023,5,4,6,45,23.6,760,20,5,6,765.67,4,1,1,0,0
2023,5,4,6,50,23.6,760,20,5,6,764,4,1,1,0,0
2023,5,4,6,55,23.6,760,20,4,5,760.33,4,1,1,0,0
2023,5,4,7,0,23.6,760,20,6,6,759,4,1,1,0,0
2023,5,4,7,5,23.6,760,20,5,6,757.33,4,1,1,0,0
2023,5,4,7,10,23.7,760,20,4,5,757,4,1,1,0,0
2023,5,4,7,15,23.7,760,20,5,6,755,4,1,1,0,0
2023,5,4,7,20,23.7,760,20,4,6,754,4,1,1,0,0
2023,5,4,7,25,23.7,760,20,5,5,753,4,1,1,0,0
2023,5,4,7,30,23.7,760,20,4,5,752,4,1,1,0,0
2023,5,4,7,35,23.7,760,20,5,6,750.33,4,1,1,0,0
2023,5,4,7,40,23.8,760,20,4,4,749,4,1,1,0,0
2023,5,4,7,45,23.8,760,20,4,5,746.33,4,1,1,0,0
2023,5,4,7,50,23.8,760,20,4,6,740,4,1,1,0,0
2023,5,4,7,55,23.8,760,20,5,6,730.67,4,1,1,0,0
2023,5,4,8,5,23.9,760,20,5,6,719.67,4,1,1,0,0
2023,5,4,8,10,23.9,760,20,5,6,717,4,1,1,0,0
2023,5,4,8,15,24,760,20,5,6,716.67,4,1,1,0,0
2023,5,4,8,20,24,760,20,5,7,716,4,1,1,0,0
2023,5,4,8,25,24,760,20,6,6,716.33,4,1,1,0,0
2023,5,4,8,30,24.1,760,20,6,7,716,4,1,1,0,0
