Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
2023-05-04 00:01:53,24.04,759.69464,20.15,966,6,5,6,00:00:59,closed,closed,0,2023-05-04 00:02:00,23.4,28,959.0
2023-05-04 00:03:53,24.04,759.7096,20.15,966,5,4,5,00:02:59,closed,closed,0,2023-05-04 00:04:00,23.4,28,959.0
2023-05-04 00:05:53,24.04,759.69464,20.02,966,6,5,6,00:04:59,closed,closed,0,2023-05-04 00:06:00,23.4,28,955.2
2023-05-04 00:07:53,24.04,759.7096,20.03,964,6,5,6,00:06:59,closed,closed,0,2023-05-04 00:08:00,23.4,28,955.2
2023-05-04 00:09:53,24.04,759.7171,20.13,963,6,4,6,00:08:59,closed,closed,0,2023-05-04 00:10:00,23.4,28,951.25
2023-05-04 00:11:53,24.04,759.7246,20.11,963,6,5,6,00:10:59,closed,closed,0,2023-05-04 00:12:00,23.4,28,951.25
2023-05-04 00:13:53,24.05,759.7321,20.04,961,6,4,6,00:12:59,closed,closed,0,2023-05-04 00:14:00,23.4,28,951.25
2023-05-04 00:15:53,24.05,759.7246,20.11,961,5,5,5,00:14:59,closed,closed,0,2023-05-04 00:16:00,23.4,28,947.2
2023-05-04 00:17:53,24.05,759.7321,20.05,960,5,4,5,00:16:59,closed,closed,0,2023-05-04 00:18:00,23.4,28,947.2
2023-05-04 00:19:53,24.05,759.7246,20.05,956,4,4,4,00:18:59,closed,closed,0,2023-05-04 00:20:00,23.4,28,943.0
2023-05-04 00:21:54,24.05,759.7171,20.09,957,5,4,5,00:20:59,closed,closed,0,2023-05-04 00:22:00,23.4,28,943.0
2023-05-04 00:23:54,24.05,759.7246,20.1,957,6,5,6,00:22:59,closed,closed,0,2023-05-04 00:24:00,23.4,28,943.0
2023-05-04 00:25:54,24.05,759.7096,20.06,956,5,4,5,00:24:59,closed,closed,0,2023-05-04 00:26:00,23.4,28,939.5
2023-05-04 00:27:54,24.05,759.69464,20.1,948,5,4,5,00:26:59,open,closed,0,2023-05-04 00:28:00,23.4,28,939.5
2023-05-04 00:29:54,24.05,759.7021,20.11,923,6,5,6,00:28:59,open,closed,0,2023-05-04 00:30:00,23.4,28,934.0
2023-05-04 00:31:54,24.05,759.68713,20.05,915,5,5,5,00:30:59,open,closed,0,2023-05-04 00:32:00,23.4,28,934.0
2023-05-04 00:33:54,24.05,759.68713,20.04,913,7,5,7,00:32:59,open,closed,0,2023-05-04 00:34:00,23.4,28,934.0
2023-05-04 00:35:54,24.04,759.7021,20.13,905,5,5,5,00:34:59,open,closed,0,2023-05-04 00:36:00,23.4,28,928.8
2023-05-04 00:37:54,24.04,759.7171,20.18,903,7,6,7,00:36:59,open,closed,0,2023-05-04 00:38:00,23.4,28,928.8
2023-05-04 00:39:54,24.03,759.7321,20.11,898,6,5,6,00:38:59,open,closed,0,2023-05-04 00:40:00,23.3,28,923.75
2023-05-04 00:41:55,24.03,759.7396,20.05,894,5,5,5,00:40:59,open,closed,0,2023-05-04 00:42:00,23.3,28,923.75
2023-05-04 00:43:55,24.02,759.7546,20.03,893,5,5,5,00:42:59,open,closed,0,2023-05-04 00:44:00,23.3,28,923.75
2023-05-04 00:45:55,24.01,759.7471,20.11,889,5,4,5,00:44:59,open,closed,0,2023-05-04 00:46:00,23.3,28,919.8
2023-05-04 00:47:55,24.0,759.7396,20.18,885,6,4,6,00:46:59,open,closed,0,2023-05-04 00:48:00,23.3,28,919.8
2023-05-04 00:49:55,23.99,759.7396,20.18,882,8,5,8,00:48:59,open,closed,0,2023-05-04 00:50:00,23.3,27,914.25
2023-05-04 00:51:55,23.99,759.7471,20.14,875,5,4,5,00:50:59,open,closed,0,2023-05-04 00:52:00,23.3,27,914.25
2023-05-04 00:53:55,23.98,759.7471,20.08,875,5,5,5,00:52:59,open,closed,0,2023-05-04 00:54:00,23.3,27,914.25
2023-05-04 00:55:55,23.97,759.7471,20.13,874,5,4,5,00:54:59,open,closed,0,2023-05-04 00:56:00,23.3,27,909.0
2023-05-04 00:57:55,23.97,759.7321,20.15,875,5,4,5,00:56:59,open,closed,0,2023-05-04 00:58:00,23.3,27,909.0
2023-05-04 00:59:55,23.96,759.7321,20.11,878,6,5,6,00:58:59,open,closed,0,2023-05-04 01:00:00,23.3,27,904.6
2023-05-04 01:01:56,23.95,759.7321,20.25,880,5,4,5,01:00:59,open,closed,0,2023-05-04 01:02:00,23.3,27,904.6
2023-05-04 01:03:56,23.94,759.7246,20.24,882,5,5,5,01:02:59,open,closed,0,2023-05-04 01:04:00,23.3,27,904.6
2023-05-04 01:05:56,23.94,759.7321,20.22,881,5,5,5,01:04:59,open,closed,0,2023-05-04 01:06:00,23.3,27,899.0
2023-05-04 01:07:56,23.93,759.7246,20.26,882,6,5,6,01:06:59,open,closed,0,2023-05-04 01:08:00,23.3,27,899.0
2023-05-04 01:09:56,23.92,759.7171,20.28,882,6,4,6,01:08:59,open,closed,0,2023-05-04 01:10:00,23.2,27,894.4
2023-05-04 01:11:56,23.92,759.7171,20.27,882,5,4,5,01:10:59,open,closed,0,2023-05-04 01:12:00,23.2,27,894.4
2023-05-04 01:13:56,23.91,759.7246,20.27,884,6,5,6,01:12:59,open,closed,0,2023-05-04 01:14:00,23.2,27,894.4
2023-05-04 01:15:56,23.91,759.7321,20.28,882,5,4,5,01:14:59,open,closed,0,2023-05-04 01:16:00,23.2,27,891.25
2023-05-04 01:17:56,23.9,759.7321,20.34,885,7,5,7,01:16:59,open,closed,0,2023-05-04 01:18:00,23.2,27,891.25
2023-05-04 01:19:56,23.89,759.7321,20.32,884,5,4,5,01:18:59,open,closed,0,2023-05-04 01:20:00,23.2,27,887.0
2023-05-04 01:21:56,23.89,759.7471,20.38,883,6,5,6,01:20:59,open,closed,0,2023-05-04 01:22:00,23.2,27,887.0
2023-05-04 01:23:57,23.88,759.7471,20.32,883,6,5,6,01:22:59,open,closed,0,2023-05-04 01:24:00,23.2,27,887.0
2023-05-04 01:25:57,23.88,759.7621,20.35,883,5,5,5,01:24:59,open,closed,0,2023-05-04 01:26:00,23.2,27,883.5
2023-05-04 01:27:57,23.87,759.7621,20.3,883,5,4,5,01:26:59,open,closed,0,2023-05-04 01:28:00,23.2,27,883.5
2023-05-04 01:29:57,23.87,759.7771,20.31,883,5,4,5,01:28:59,open,closed,0,2023-05-04 01:30:00,23.2,27,881.0
2023-05-04 01:31:57,23.86,759.7846,20.3,882,6,4,6,01:30:59,open,closed,0,2023-05-04 01:32:00,23.2,27,881.0
