Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
2023-05-11 00:01:59,22.57,754.4066,16.28,451,18,14,18,00:00:59,open,open,0,2023-05-11 00:02:00,24.3,21,420.75
2023-05-11 00:03:59,22.56,754.38416,16.22,452,17,14,17,00:02:59,open,open,0,2023-05-11 00:04:00,24.3,21,420.75
2023-05-11 00:05:59,22.55,754.36914,16.18,452,16,14,16,00:04:59,open,open,0,2023-05-11 00:06:00,24.2,20,415.2
2023-05-11 00:07:59,22.52,754.3467,16.04,452,17,13,17,00:06:59,open,open,0,2023-05-11 00:08:00,24.2,20,415.2
2023-05-11 00:09:59,22.49,754.32416,15.9,448,13,13,13,00:08:59,open,open,0,2023-05-11 00:10:00,24.2,20,406.5
2023-05-11 00:11:59,22.46,754.3392,15.61,445,12,11,12,00:10:59,open,open,0,2023-05-11 00:12:00,24.2,20,406.5
2023-05-11 00:13:59,22.42,754.33167,15.38,440,15,12,15,00:12:59,open,open,0,2023-05-11 00:14:00,24.2,20,406.5
2023-05-11 00:15:59,22.39,754.3392,15.1,438,12,10,12,00:14:59,open,open,0,2023-05-11 00:16:00,24.1,20,397.6
2023-05-11 00:17:59,22.34,754.3467,14.94,435,12,10,12,00:16:59,open,open,0,2023-05-11 00:18:00,24.1,20,397.6
2023-05-11 00:19:59,22.3,754.3467,14.88,433,12,9,12,00:18:59,open,open,0,2023-05-11 00:20:00,24.1,19,389.5
2023-05-11 00:22:00,22.26,754.33167,14.67,431,12,9,12,00:20:59,open,open,0,2023-05-11 00:22:00,24.1,19,389.5
2023-05-11 00:24:00,22.22,754.31665,14.49,426,12,10,12,00:22:59,open,open,0,2023-05-11 00:24:00,24.1,19,389.5
2023-05-11 00:26:00,22.18,754.2941,14.26,424,10,9,10,00:24:59,open,open,0,2023-05-11 00:26:00,24.0,19,383.8
2023-05-11 00:28:00,22.14,754.2866,14.12,422,11,9,11,00:26:59,open,open,0,2023-05-11 00:28:00,24.0,19,383.8
2023-05-11 00:30:00,22.09,754.2791,14.0,419,10,9,10,00:28:59,open,open,0,2023-05-11 00:30:00,24.0,18,381.0
