Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
2023-05-08 00:00:30,26.09,750.0338,19.41,570,58,50,58,00:00:59,open,closed,0,2023-05-08 00:02:00,24.9,27,597.5
2023-05-08 00:02:30,26.09,750.0263,19.43,569,57,49,57,00:02:59,open,closed,0,2023-05-08 00:04:00,24.9,27,597.5
2023-05-08 00:04:30,26.08,750.0263,19.46,569,58,51,58,00:04:59,open,closed,0,2023-05-08 00:06:00,24.9,27,598.0
2023-05-08 00:06:31,26.08,750.0338,19.48,571,57,49,57,00:06:59,open,closed,0,2023-05-08 00:08:00,24.9,27,598.0
2023-05-08 00:08:31,26.08,750.0263,19.4,572,59,50,59,00:08:59,open,closed,0,2023-05-08 00:10:00,24.9,27,596.75
2023-05-08 00:10:31,26.07,750.0188,19.53,572,58,50,58,00:10:59,open,closed,0,2023-05-08 00:12:00,24.9,27,596.75
2023-05-08 00:12:31,26.08,750.0188,19.27,573,58,51,58,00:12:59,open,closed,0,2023-05-08 00:14:00,24.9,27,596.75
2023-05-08 00:14:31,26.07,750.0188,19.4,571,56,48,56,00:14:59,open,closed,0,2023-05-08 00:16:00,24.9,27,596.2
2023-05-08 00:16:31,26.07,750.0338,19.4,574,58,49,58,00:16:59,open,closed,0,2023-05-08 00:18:00,24.9,27,596.2
2023-05-08 00:18:31,26.07,750.0338,19.37,574,54,49,54,00:18:59,open,closed,0,2023-05-08 00:20:00,24.9,27,595.0
2023-05-08 00:20:31,26.07,750.0188,19.41,574,56,49,56,00:20:59,open,closed,0,2023-05-08 00:22:00,24.9,27,595.0
2023-05-08 00:22:31,26.07,750.0338,19.48,574,58,48,58,00:22:59,open,closed,0,2023-05-08 00:24:00,24.9,27,595.0
2023-05-08 00:24:31,26.06,750.0338,19.36,573,54,47,54,00:24:59,open,closed,0,2023-05-08 00:26:00,24.9,27,594.4
2023-05-08 00:26:31,26.06,750.0188,19.46,575,56,48,56,00:26:59,open,closed,0,2023-05-08 00:28:00,24.9,27,594.4
2023-05-08 00:28:32,26.06,750.0113,19.38,575,56,49,56,00:28:59,open,closed,0,2023-05-08 00:30:00,24.9,27,593.0
2023-05-08 00:30:32,26.06,750.0038,19.56,575,55,49,55,00:30:59,open,closed,0,2023-05-08 00:32:00,24.9,27,593.0
2023-05-08 00:32:32,26.05,749.9963,19.38,574,56,49,56,00:32:59,open,closed,0,2023-05-08 00:34:00,24.9,27,593.0
2023-05-08 00:34:32,26.05,749.9888,19.44,575,58,49,58,00:34:59,open,closed,0,2023-05-08 00:36:00,24.9,27,593.4
2023-05-08 00:36:32,26.05,749.9888,19.5,574,58,50,58,00:36:59,open,closed,0,2023-05-08 00:38:00,24.9,27,593.4
2023-05-08 00:38:32,26.05,749.98126,19.41,576,57,49,57,00:38:59,open,closed,0,2023-05-08 00:40:00,24.9,27,592.0
2023-05-08 00:40:32,26.06,749.97375,19.4,574,57,49,57,00:40:59,open,closed,0,2023-05-08 00:42:00,24.9,27,592.0
2023-05-08 00:42:32,26.06,749.97375,19.36,575,58,50,58,00:42:59,open,closed,0,2023-05-08 00:44:00,24.9,27,592.0
2023-05-08 00:44:32,26.05,749.97375,19.49,577,58,49,58,00:44:59,open,closed,0,2023-05-08 00:46:00,24.9,27,591.2
2023-05-08 00:46:32,26.05,749.95874,19.41,574,56,50,56,00:46:59,open,closed,0,2023-05-08 00:48:00,24.9,27,591.2
