Time UTC,Temperature (°C),Pressure (mm Hg),Humidity (%),CO2 (ppm),DUST TSP (µg m³),DUST PM2.5 (µg m³),DUST PM10 (µg m³),Time-local,door,window,occupancy,Time (+07:00),Temperature (°C)_lounge,Humidity (%)_lounge,CO2 (ppm)_lounge
2023-05-12 00:01:08,24.32,743.83075,20.24,487,34,28,34,00:00:59,open,closed,0,2023-05-12 00:02:00,23.8,29,469.75
2023-05-12 00:03:08,24.32,743.82324,20.29,488,32,28,32,00:02:59,open,closed,0,2023-05-12 00:04:00,23.8,29,469.75
2023-05-12 00:05:08,24.32,743.8532,20.25,487,33,28,33,00:04:59,open,closed,0,2023-05-12 00:06:00,23.8,29,468.0
2023-05-12 00:07:08,24.32,743.84576,20.32,488,31,27,31,00:06:59,open,closed,0,2023-05-12 00:08:00,23.8,29,468.0
2023-05-12 00:09:08,24.32,743.83826,20.35,486,32,28,32,00:08:59,open,closed,0,2023-05-12 00:10:00,23.8,29,466.8
2023-05-12 00:11:09,24.32,743.8532,20.26,485,33,27,33,00:10:59,open,closed,0,2023-05-12 00:12:00,23.8,29,466.8
2023-05-12 00:13:09,24.32,743.89825,20.28,486,33,27,33,00:12:59,open,closed,0,2023-05-12 00:14:00,23.8,29,466.8
2023-05-12 00:15:09,24.32,743.9208,20.25,486,31,27,31,00:14:59,open,closed,0,2023-05-12 00:16:00,23.8,29,465.25
2023-05-12 00:17:09,24.33,743.9283,20.31,486,32,28,32,00:16:59,open,closed,0,2023-05-12 00:18:00,23.8,29,465.25
2023-05-12 00:19:09,24.33,743.91327,20.34,485,32,27,32,00:18:59,open,closed,0,2023-05-12 00:20:00,23.8,29,464.2
2023-05-12 00:21:09,24.33,743.90576,20.37,485,32,27,32,00:20:59,open,closed,0,2023-05-12 00:22:00,23.8,29,464.2
2023-05-12 00:23:09,24.33,743.8682,20.3,486,31,27,31,00:22:59,open,closed,0,2023-05-12 00:24:00,23.8,29,464.2
2023-05-12 00:25:09,24.33,743.82324,20.32,486,30,27,30,00:24:59,open,closed,0,2023-05-12 00:26:00,23.8,29,464.0
2023-05-12 00:27:09,24.33,743.81573,20.32,483,30,26,30,00:26:59,open,closed,0,2023-05-12 00:28:00,23.8,29,464.0
2023-05-12 00:29:09,24.33,743.82324,20.35,484,31,26,31,00:28:59,open,closed,0,2023-05-12 00:30:00,23.8,29,463.25
2023-05-12 00:31:10,24.33,743.83826,20.29,484,31,26,31,00:30:59,open,closed,0,2023-05-12 00:32:00,23.8,29,463.25
2023-05-12 00:33:10,24.33,743.83075,20.41,485,29,26,29,00:32:59,open,closed,0,2023-05-12 00:34:00,23.8,29,463.25
2023-05-12 00:35:10,24.33,743.82324,20.38,482,28,26,28,00:34:59,open,closed,0,2023-05-12 00:36:00,23.8,29,463.0
2023-05-12 00:37:10,24.33,743.83826,20.38,481,34,27,34,00:36:59,open,closed,0,2023-05-12 00:38:00,23.8,29,463.0
2023-05-12 00:39:10,24.32,743.8607,20.37,482,33,27,33,00:38:59,open,closed,0,2023-05-12 00:40:00,23.8,29,463.25
2023-05-12 00:41:10,24.33,743.84576,20.36,482,30,27,30,00:40:59,open,closed,0,2023-05-12 00:42:00,23.8,29,463.25
